|novel|brut_sum|brut_type|Total Words|Percentage
0| EXIT |47|20|12215|0.38477282030290627
1| Game Over |111|25|20050|0.5536159600997507
2| Leseprobe   Die Zeitagentin|108|27|13678|0.7895891212165521
3| Leseprobe   Sehnsucht nach Freiheit|105|27|15282|0.6870828425598744
4| Trigger and Suggestion |208|40|34694|0.5995272957860149
5|Alles und Nichts|126|34|17243|0.7307313112567418
6|Chroniken der Stämme Spotlight  Licht und Schatten  Teil 2 |82|32|10019|0.818444954586286
7|Das Leben ist kein Ponyhof   Das Geheimnis von Whitehorse Castle  MMFF Anmeldung geschlossen _0|154|33|49152|0.31331380208333337
8|Das Leben ist kein Ponyhof   Das Geheimnis von Whitehorse Castle  MMFF Anmeldung geschlossen _1|195|44|49250|0.39593908629441626
9|Das Leben ist kein Ponyhof   Das Geheimnis von Whitehorse Castle  MMFF Anmeldung geschlossen _2|186|35|49249|0.3776726430993523
10|Das Leben ist kein Ponyhof   Das Geheimnis von Whitehorse Castle  MMFF Anmeldung geschlossen _3|147|38|40978|0.358729074137342
11|Der Weg des Herzens|68|23|10932|0.6220270764727406
12|Die Arena der Adler|120|27|13863|0.8656135035706556
13|Die Fahrt auf der Fetten Witwe   Testament eines Meisterdiebes|128|39|23332|0.5486027773015602
14|Die Lagune unter der Treppe|152|26|25276|0.6013609748377908
15|Die Wolfsprinzessin|318|37|51789|0.6140300063720094
16|Ein Held oder Monster |308|48|43077|0.7149987232165657
17|Entscheide dich  Krieg oder Liebe 2    Drittes Reich x Sowjet Union   Countryhumans|91|25|23372|0.3893547835016259
18|Erwachen   Die Welt nach dem Ende|179|42|31404|0.5699910839383519
19|Freunde durch dick und dünn_0|107|26|50101|0.2135685914452805
20|Freunde durch dick und dünn_1|12|7|8180|0.1466992665036675
21|Glück auf beim Erkunden|45|8|12536|0.3589661774090619
22|Gone   trotz aller Erwartungen überlebt und das noch immer jeden einzelnen Tag|72|22|10568|0.6813020439061317
23|Guerreira   Licht und Schatten|93|27|12968|0.7171499074645281
24|Hunua Falls_0|299|45|50285|0.5946107189022571
25|Hunua Falls_1|69|20|7002|0.985432733504713
26|In Verdammnis und Leidenschaft|86|23|11062|0.7774362683059122
27|Mailands Mörder|150|26|21032|0.7131989349562572
28|Nika und Ben s Zeitreisen|141|19|10266|1.3734658094681473
29|Nymeria|134|29|20774|0.6450370655627227
30|On the Horizon under the Black Flag|89|25|12313|0.7228132867700804
31|Rhyddien|335|39|46595|0.7189612619379762
32|Roter Teufel|397|47|47703|0.8322327736201076
33|Samurai Rebel_0|524|58|49955|1.0489440496446802
34|Samurai Rebel_1|192|44|22980|0.835509138381201
35|Schlimmer geht s Nimmer|65|29|19636|0.3310246486046038
36|Ships  Die Bibliotheken Saga  03 |411|33|39009|1.053603014688918
37|Ships  Die Bürgermeister Edward Saga  02 |321|30|36115|0.8888273570538557
38|Ships  Die Piraten Rick Saga  01 |413|30|34830|1.1857594028136664
39|Steinzeit   Rosen|22|12|11507|0.19118797253845485
40|The Flower of Death|61|26|10677|0.5713215322656177
41|Titel ist noch in Arbeit |384|35|22379|1.7158943652531389
42|Underground  London|131|33|11012|1.1896113330911733
43|Veneris und der kleine Stier|100|20|16735|0.5975500448162534
44|Venom|136|35|22703|0.5990397744791437
45|Waldemar im amerikanischen Supermarkt|152|37|27613|0.5504653605185963
46|Zwischen den Welten   Der magische Fluss|66|19|15564|0.4240555127216654
